show_id,type,title,cast,release_year,listed_in,plataforma,duration_len,duration_type
n5981,Movie,1 Mile to You,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",2017,"Dramas, Romantic Movies, Sports Movies",netflix,105,min
n5982,Movie,"10,000 B.C.","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif",2008,Action & Adventure,netflix,109,min
n5983,Movie,100 Days Of Solitude,sin datos,2018,"Documentaries, International Movies",netflix,93,min
n5984,Movie,100 Years: One Woman's Fight for Justice,sin datos,2016,Documentaries,netflix,75,min
n5985,TV Show,100% Hotter,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward",2017,"British TV Shows, International TV Shows, Reality TV",netflix,1,Season
n5986,Movie,12 ROUND GUN,"Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone",2017,"Dramas, Independent Movies, Sports Movies",netflix,90,min
n5987,TV Show,12 Years Promise,"So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu",2014,"International TV Shows, Korean TV Shows, Romantic TV Shows",netflix,1,Season
n5988,Movie,13 Cameras,"PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",2015,"Horror Movies, Independent Movies, Thrillers",netflix,90,min
n5989,Movie,13 Sins,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince",2014,"Horror Movies, Thrillers",netflix,93,min
n5990,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,"Oprah Winfrey, Ava DuVernay",2017,Movies,netflix,37,min
n5991,Movie,14 Blades,"Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu",2010,"Action & Adventure, International Movies",netflix,113,min
n5992,Movie,14 Cameras,"Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",2018,"Horror Movies, Thrillers",netflix,89,min
